區域,候選人,職務,個人捐贈收入,營利事業捐贈收入,政黨捐贈收入,人民團體捐贈收入,匿名捐贈收入,其他收入,超過三萬元之收入合計,金錢收入總額,收入合計,非金錢收入總額,人事費用支出,宣傳支出,租用宣傳車輛支出,租用競選辦事處支出,集會支出,交通旅運支出,雜支支出,返還捐贈支出,繳庫支出,專戶存款結存金額,公共關係費用支出,支出合計,超過三萬元之支出合計,收支結存金額,金錢以外之賸餘財產,結算日期,申報日期,更正日期
臺北市 ,吳武明 ,None,46200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46200.0,None,0.0,648400.0,0.0,0.0,18300.0,0.0,2000165.0,0.0,0.0,46035.0,0.0,2666865.0,2648400.0,-2620665.0,0.0,20101126,20110301,20110407
臺北市 ,吳炎成 ,None,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,None,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20101127,20101221,None
臺北市 ,郝龍斌 ,None,8881988.0,31110800.0,500000.0,300000.0,86969.0,640.0,40220000.0,0.0,40880397.0,None,4672667.0,34069493.0,0.0,6708743.0,4523609.0,258625.0,3833398.0,2500000.0,0.0,640.0,0.0,56566535.0,53444556.0,-15686138.0,0.0,20101221,20110225,None
臺北市 ,張蓬興 ,None,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500.0,None,0.0,91350.0,0.0,0.0,0.0,0.0,17272.0,0.0,0.0,500.0,0.0,108622.0,91350.0,-108122.0,0.0,20101011,20110301,None
臺北市 ,郭正一 ,None,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,None,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20101101,20101102,None
臺北市 ,陳雅嫺 ,None,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,None,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20101201,20101201,None
臺北市 ,黃文發 ,None,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,None,10000.0,3600.0,0.0,0.0,0.0,1000.0,800.0,0.0,0.0,0.0,1400.0,16800.0,0.0,-16800.0,0.0,20101020,20101021,None
臺北市 ,劉明德 ,None,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,None,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20100916,20100917,None
臺北市 ,蕭淑華 ,None,100.0,0.0,0.0,0.0,300.0,0.0,0.0,0.0,400.0,None,0.0,0.0,0.0,0.0,0.0,0.0,2007385.0,0.0,0.0,0.0,0.0,2007385.0,2000000.0,-2006985.0,0.0,20101126,20101223,None
臺北市 ,蘇貞昌 ,None,82636797.0,38322666.0,17992809.0,170000.0,2619294.0,None,None,None,141743019.0,None,6358710.0,114349418.0,0.0,5093155.0,12174072.0,0.0,634759.0,4125000.0,None,None,93860.0,None,None,-1195955.0,0.0,20110224,20110225,None
新北市 ,朱立倫 ,None,29281181.0,50842945.0,9000000.0,120000.0,402378.0,26365.0,88174745.0,2281445.0,89672869.0,None,13192530.0,42002610.0,670125.0,3511950.0,3537022.0,348592.0,4483088.0,2125000.0,1052000.0,33668640.0,2399253.0,73322170.0,63369999.0,16350699.0,0.0,20101217,20110301,None
新北市 ,黃茂全 ,None,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,None,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,20100917,20100917,None
新北市 ,蔡英文 ,None,89043615.0,28121320.0,2854275.0,932000.0,23335901.0,12671.0,88724086.0,3754190.0,144299782.0,None,10504728.0,86050711.0,901281.0,5618938.0,33084542.0,1982924.0,5742106.0,1687500.0,0.0,0.0,918482.0,146491212.0,121890132.0,-2191430.0,1098427.0,20101221,20110128,None
臺中市 ,胡志強 ,None,35808000.0,33204223.0,0.0,1217134.0,72321.0,None,None,None,70301678.0,None,8397578.0,32456194.0,4159225.0,7898393.0,11603777.0,1895570.0,3025093.0,0.0,None,None,937085.0,None,None,-71237.0,0.0,20101220,20101230,20110504
臺中市 ,蘇嘉全 ,None,60032606.0,20466232.0,2903492.0,2026666.0,1767294.0,None,None,None,87199101.0,None,10153055.0,58420037.0,1178338.0,3154523.0,8860682.0,2380001.0,2874593.0,20000.0,None,None,60.0,None,None,-842188.0,0.0,20101221,20110215,20110421
臺南市 ,郭添財 ,None,20598945.0,15234080.0,2000000.0,360000.0,252801.0,37.0,33611555.0,250000.0,38445863.0,None,5015745.0,20420697.0,420290.0,2128905.0,5837042.0,200976.0,3074890.0,1927400.0,0.0,0.0,997470.0,40023415.0,29357279.0,-1577552.0,0.0,20101222,20110223,None
臺南市 ,賴清德 ,None,58971420.0,23522138.0,648353.0,1528000.0,330266.0,None,None,None,85003838.0,None,8976757.0,39781187.0,3965025.0,1805868.0,5360701.0,1032430.0,12263935.0,2248000.0,None,None,0.0,None,None,9569935.0,0.0,20101227,20110224,None
高雄市 ,林景元 ,None,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,None,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20100917,20101201,None
高雄市 ,陳菊 ,None,60051624.0,36652300.0,185999.0,2060000.0,160433.0,None,None,None,99118737.0,None,5002230.0,57025384.0,1005539.0,20470522.0,13049552.0,733415.0,4679203.0,3302000.0,None,None,257716.0,None,None,-6406824.0,0.0,20101225,20110218,None
高雄市 ,黃昭順 ,None,32657107.0,19456668.0,2000000.0,2170000.0,347834.0,1278.0,52005128.0,348168.0,56632887.0,None,10578460.0,36852399.0,5075792.0,2963305.0,7127751.0,861609.0,9468465.0,610000.0,51000.0,0.0,0.0,73588781.0,52675671.0,-16955894.0,0.0,20101220,20110228,None
高雄市 ,楊秋興 ,None,107000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,107000.0,None,0.0,136600.0,0.0,0.0,24775.0,4171.0,15010.0,0.0,0.0,0.0,0.0,180556.0,121500.0,-73556.0,0.0,20110506,20110513,20110428
